city,zone,code,areas,name,party
高雄市,高雄市第05選區,64000-05,鳥松區/大社區/仁武區/大樹區,,
高雄市,高雄市第06選區,64000-06,鹽埕區/鼓山區/旗津區,,
高雄市,高雄市第07選區,64000-07,三民區,,
高雄市,高雄市第08選區,64000-08,苓雅區/前金區/新興區,,
高雄市,高雄市第09選區,64000-09,鳳山區,,
高雄市,高雄市第10選區,64000-10,前鎮區/小港區,,
高雄市,高雄市第11選區,64000-11,大寮區/林園區,,
新北市,新北市第01選區,65000-01,石門區/三芝區/淡水區/八里區,,
新北市,新北市第02選區,65000-02,林口區/五股區/泰山區,,
新北市,新北市第03選區,65000-03,新莊區,,
新北市,新北市第04選區,65000-04,三重區/蘆洲區,,
新北市,新北市第05選區,65000-05,板橋區,,
新北市,新北市第06選區,65000-06,中和區,,
新北市,新北市第07選區,65000-07,永和區,,
新北市,新北市第08選區,65000-08,鶯歌區/土城區/樹林區/三峽區,,
新北市,新北市第09選區,65000-09,坪林區/新店區/石碇區/烏來區/深坑區,,
新北市,新北市第10選區,65000-10,貢寮區/平溪區/瑞芳區/雙溪區,,
新北市,新北市第11選區,65000-11,萬里區/汐止區/金山區,,
臺中市,臺中市第01選區,66000-01,大安區/大甲區/外埔區,,
臺中市,臺中市第02選區,66000-02,沙鹿區/清水區/梧棲區,,
臺中市,臺中市第03選區,66000-03,烏日區/龍井區/大肚區,,
臺中市,臺中市第04選區,66000-04,后里區/豐原區,,
臺中市,臺中市第05選區,66000-05,潭子區/大雅區/神岡區,,
臺中市,臺中市第06選區,66000-06,西屯區,,
臺中市,臺中市第07選區,66000-07,南屯區,,
臺中市,臺中市第08選區,66000-08,北屯區,,
臺中市,臺中市第09選區,66000-09,北區,,
臺中市,臺中市第10選區,66000-10,西區/中區,,
臺中市,臺中市第11選區,66000-11,東區/南區,,
臺中市,臺中市第12選區,66000-12,太平區,,
臺中市,臺中市第13選區,66000-13,大里區/霧峰區,,
臺中市,臺中市第14選區,66000-14,新社區/和平區/東勢區/石岡區,,
臺南市,臺南市第01選區,67000-01,鹽水區/東山區/新營區/白河區/後壁區/柳營區,,
臺南市,臺南市第02選區,67000-02,北門區/佳里區/將軍區/西港區/學甲區/七股區,,
臺南市,臺南市第03選區,67000-03,官田區/下營區/麻豆區/大內區/六甲區,,
臺南市,臺南市第04選區,67000-04,玉井區/南化區/楠西區/左鎮區,,
臺南市,臺南市第05選區,67000-05,善化區/新市區/新化區/山上區/安定區,,
臺南市,臺南市第06選區,67000-06,安南區,,
臺南市,臺南市第07選區,67000-07,永康區,,
臺南市,臺南市第08選區,67000-08,中西區/北區,,
臺南市,臺南市第09選區,67000-09,南區/安平區,,
臺南市,臺南市第10選區,67000-10,東區,,
臺南市,臺南市第11選區,67000-11,仁德區/關廟區/歸仁區/龍崎區,,
桃園市,桃園市第01選區,68000-01,桃園區,,
桃園市,桃園市第02選區,68000-02,龜山區,,
桃園市,桃園市第03選區,68000-03,八德區,,
桃園市,桃園市第04選區,68000-04,蘆竹區,,
桃園市,桃園市第05選區,68000-05,大園區,,
桃園市,桃園市第06選區,68000-06,大溪區/復興區,,
桃園市,桃園市第07選區,68000-07,中壢區,,
桃園市,桃園市第08選區,68000-08,平鎮區,,
桃園市,桃園市第09選區,68000-09,楊梅區,,
桃園市,桃園市第10選區,68000-10,龍潭區,,
桃園市,桃園市第11選區,68000-11,新屋區,,
桃園市,桃園市第12選區,68000-12,觀音區,,
