姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",苗栗縣選舉區,中國國民黨,28323,10.66%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",苗栗縣選舉區,中國國民黨,24497,9.45%,,否
羅幸春,男,1945,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,無,13312,4.67%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",苗栗縣第4選區,中國國民黨,2766,5.25%,,是
-,-,-,2002-91年鄉鎮市長選舉,苗栗縣造橋鄉,中國國民黨,1567,22.94%,,否
葉武生,男,1946,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,無,1785,0.63%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",苗栗縣第四選區,無,855,1.52%,,否
杜文卿,男,1954,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,民主進步黨,20530,7.20%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",苗栗縣第1選區,民主進步黨,5480,9.09%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",苗栗縣選舉區,民主進步黨,20216,7.61%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",苗栗縣選舉區,民主進步黨,35307,13.63%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",苗栗縣選舉區,民主進步黨,41643,17.37%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",苗栗縣第01選區,民主進步黨,46905,41.98%,,是
-,-,-,2009-98年鄉鎮市長選舉,苗栗縣苑裡鎮,無黨籍及未經政黨推薦,13431,53.08%,*,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",苗栗縣第01選區,民主進步黨,56179,38.50%,,否
陳超明,男,1951,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,中國國民黨,69992,24.56%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",苗栗縣選舉區,無,46776,17.61%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",苗栗縣選舉區,無,33531,12.94%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",苗栗縣選舉區,民主進步黨,38839,16.20%,,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",苗栗縣第01選區,中國國民黨,82902,56.81%,*,否
楊文欣,男,1962,"1994-83年臺灣省議員選舉 > 區域",臺中縣,中國國民黨,111747,16.69%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,54483,8.20%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,32841,4.96%,*,是
楊瓊瓔,女,1964,"1994-83年臺灣省議員選舉 > 區域",臺中縣,中國國民黨,64735,9.67%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,32947,4.96%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,41223,6.23%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,43134,6.82%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺中縣第05選區,中國國民黨,72270,57.68%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺中市第03選區,中國國民黨,99400,57.52%,*,是
劉銓忠,男,1942,"1994-83年臺灣省議員選舉 > 區域",臺中縣,中國國民黨,104465,15.60%,*,是
-,-,-,1997-86年縣市長選舉,臺中縣,無,35533,5.99%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中縣選舉區,無,61175,9.21%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,32954,4.98%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,59663,9.43%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺中縣第01選區,中國國民黨,59632,53.59%,*,是
顏清標,男,1960,"1994-83年臺灣省議員選舉 > 區域",臺中縣,無,72150,10.78%,*,否
-,-,-,"1998-87年縣市議員選舉 > 區域",臺中縣第6選區,中國國民黨,8249,9.84%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,無,34003,5.14%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中縣選舉區,無黨團結聯盟,46111,7.29%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺中縣第02選區,無黨團結聯盟,83349,59.94%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺中市第02選區,無黨團結聯盟,118585,59.79%,*,是
郭榮振,男,1950,"1994-83年臺灣省議員選舉 > 區域",臺中縣,中國國民黨,93564,13.98%,*,是
-,-,-,1997-86年縣市長選舉,臺中縣,中國國民黨,173667,29.26%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中縣選舉區,中國國民黨,42376,6.38%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,無,23689,3.58%,,是
郭俊銘,男,1955,"1994-83年臺灣省議員選舉 > 區域",臺中縣,民主進步黨,98578,14.72%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中縣選舉區,民主進步黨,35351,5.32%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中縣選舉區,民主進步黨,78620,11.88%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中縣選舉區,民主進步黨,35450,5.61%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺中縣第05選區,民主進步黨,53012,42.31%,,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺中市第08選區,民主進步黨,60964,39.47%,,否
游月霞,女,1960,"1994-83年臺灣省議員選舉 > 區域",彰化縣,中國國民黨,88003,13.53%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,49621,7.49%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,59590,9.70%,*,是
黃俊雄,男,1944,"1994-83年臺灣省議員選舉 > 區域",彰化縣,無,6583,1.01%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",彰化縣第1選區,中國國民黨,6140,4.47%,*,否
謝章捷,男,1958,"1994-83年臺灣省議員選舉 > 區域",彰化縣,中國國民黨,101321,15.58%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,46652,7.04%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",彰化縣選舉區,親民黨,42977,6.99%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",彰化縣選舉區,親民黨,34723,5.40%,,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",彰化縣第04選區,無黨籍及未經政黨推薦,11302,7.64%,,否
謝言信,男,1929,"1994-83年臺灣省議員選舉 > 區域",彰化縣,中國國民黨,86426,13.29%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,54455,8.22%,*,否
林進春,男,1947,"1994-83年臺灣省議員選舉 > 區域",彰化縣,中國國民黨,82565,12.70%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,56129,8.47%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,44812,7.29%,*,是
陳忠孝,男,1935,"1994-83年臺灣省議員選舉 > 區域",彰化縣,民主進步黨,54000,8.31%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",彰化縣第4選區,民主進步黨,6485,6.81%,,否
陳振雄,男,1944,"1994-83年臺灣省議員選舉 > 區域",彰化縣,中國國民黨,77562,11.93%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,49898,7.53%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",彰化縣選舉區,中國國民黨,21103,3.43%,,是
余武龍,男,1950,"1994-83年臺灣省議員選舉 > 區域",南投縣,中國國民黨,55242,20.84%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",南投縣選舉區,無,12087,5.47%,,否
張明雄,男,1944,"1994-83年臺灣省議員選舉 > 區域",南投縣,中國國民黨,63525,23.96%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",南投縣選舉區,中國國民黨,30114,12.49%,*,否
-,-,-,2001-90年縣市長選舉,南投縣,中國國民黨,7475,2.91%,,否
-,-,-,2005-94年鄉鎮市長選舉,南投縣竹山鎮,中國國民黨,4257,14.00%,,否
陳啟吉,男,1941,"1994-83年臺灣省議員選舉 > 區域",南投縣,無,58303,21.99%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",南投縣選舉區,民主聯盟,29184,12.10%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",南投縣選舉區,台灣團結聯盟,21549,8.72%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",南投縣選舉區,台灣團結聯盟,29448,13.65%,,否
林宗男,男,1942,"1994-83年臺灣省議員選舉 > 區域",南投縣,民主進步黨,74835,28.22%,*,是
-,-,-,1997-86年縣市長選舉,南投縣,民主進步黨,76689,30.80%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",南投縣選舉區,民主進步黨,34750,14.41%,*,否
-,-,-,2001-90年縣市長選舉,南投縣,民主進步黨,94631,36.79%,*,否
-,-,-,2005-94年縣市長選舉,南投縣,無,60793,22.08%,,是
鄭光東,男,1956,"1994-83年臺灣省議員選舉 > 區域",南投縣,無,13235,4.99%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",南投縣第五選區,中國國民黨,236,0.44%,,否
侯惠仙,女,1958,"1994-83年臺灣省議員選舉 > 區域",雲林縣,中國國民黨,77826,21.78%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",雲林縣選舉區,中國國民黨,45288,12.72%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",雲林縣選舉區,中國國民黨,27353,8.08%,,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",雲林縣選舉區,中國國民黨,18021,5.15%,,否
蘇治洋,女,1951,"1994-83年臺灣省議員選舉 > 區域",雲林縣,民主進步黨,56366,15.78%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",雲林縣選舉區,無,13854,3.89%,,否
曾蔡美佐,女,1945,"1994-83年臺灣省議員選舉 > 區域",雲林縣,中國國民黨,75018,21.00%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",雲林縣選舉區,中國國民黨,46216,12.98%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",雲林縣選舉區,中國國民黨,38012,11.23%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",雲林縣選舉區,無,20310,5.81%,,是
蘇文雄,男,1943,"1994-83年臺灣省議員選舉 > 區域",雲林縣,中國國民黨,95328,26.68%,*,是
-,-,-,1997-86年縣市長選舉,雲林縣,中國國民黨,125376,34.93%,*,否
鄭東來,男,1955,"1994-83年臺灣省議員選舉 > 區域",雲林縣,無,13671,3.83%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",雲林縣第五選區,無,4060,7.58%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",雲林縣選舉區,無,5347,1.53%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",雲林縣第五選區,無,6431,11.33%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",雲林縣第05選區,民主進步黨,7593,14.56%,*,是
許能通,男,1953,"1994-83年臺灣省議員選舉 > 區域",嘉義縣,無,11596,3.97%,,否
-,-,-,1998-87年鄉鎮市長選舉,嘉義縣民雄鄉,無,1691,5.01%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",嘉義縣選舉區,無,2342,0.94%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義縣第02選區,無黨籍及未經政黨推薦,3110,5.25%,,否
侯海熊,男,1943,"1994-83年臺灣省議員選舉 > 區域",嘉義縣,無,49566,16.98%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",嘉義縣選舉區,無,11762,5.03%,,否
陳明文,男,1954,"1994-83年臺灣省議員選舉 > 區域",嘉義縣,中國國民黨,83434,28.59%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",嘉義縣選舉區,中國國民黨,54043,19.81%,*,否
-,-,-,2001-90年縣市長選舉,嘉義縣,民主進步黨,124757,47.22%,*,否
-,-,-,2005-94年縣市長選舉,嘉義縣,民主進步黨,183476,62.69%,*,是
-,-,-,2010-第7屆立委嘉義縣第2選區補選,第2選舉區,民主進步黨,57451,67.92%,*,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",嘉義縣第02選區,民主進步黨,86828,55.19%,*,是
許登宮,男,1940,"1994-83年臺灣省議員選舉 > 區域",嘉義縣,無,73487,25.18%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",嘉義縣選舉區,中國國民黨,70709,25.93%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北縣第2選區,台灣團結聯盟,40521,6.74%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺北縣第2選區,台灣團結聯盟,24142,4.39%,,是
黃永聰,男,1949,"1994-83年臺灣省議員選舉 > 區域",嘉義縣,民主進步黨,51819,17.76%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",嘉義縣選舉區,新國家連線,13074,4.79%,,否
方醫良,男,1937,"1994-83年臺灣省議員選舉 > 區域",臺南縣,中國國民黨,76330,14.29%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺南縣選舉區,中國國民黨,46090,9.26%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南縣選舉區,中國國民黨,33165,6.22%,,是
鄭國忠,男,1956,"1994-83年臺灣省議員選舉 > 區域",臺南縣,民主進步黨,73076,13.68%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南縣選舉區,民主進步黨,41300,7.75%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺南縣選舉區,民主進步黨,50861,10.01%,*,是
葉宜津,女,1960,"1994-83年臺灣省議員選舉 > 區域",臺南縣,民主進步黨,104359,19.54%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南縣選舉區,民主進步黨,53896,10.11%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺南縣選舉區,民主進步黨,33724,6.64%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺南縣第01選區,民主進步黨,83909,54.57%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺南市第01選區,民主進步黨,120623,63.08%,*,是
謝鈞惠,男,1939,"1994-83年臺灣省議員選舉 > 區域",臺南縣,中國國民黨,59016,11.05%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺南縣選舉區,中國國民黨,34204,6.87%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南縣選舉區,親民黨,37645,7.06%,*,否
許福森,男,1950,"1994-83年臺灣省議員選舉 > 區域",高雄縣,無,56578,9.45%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",高雄縣第四選區,中國國民黨,11986,9.76%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第03選區,中國國民黨,19928,14.18%,*,否
楊秋興,男,1956,"1994-83年臺灣省議員選舉 > 區域",高雄縣,民主進步黨,88696,14.81%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",高雄縣選舉區,民主進步黨,54204,9.26%,*,否
-,-,-,2001-90年縣市長選舉,高雄縣,民主進步黨,317763,54.80%,*,否
-,-,-,2005-94年縣市長選舉,高雄縣,民主進步黨,353232,59.14%,*,是
