地區,政黨,號次,得票數,得票率
臺北市北投區永和里,中國國民黨,10,620,34.62%
臺北市北投區永和里,張亞中等150人聯盟,11,41,2.29%
臺北市北投區永和里,王廷興等20人聯盟,12,6,0.34%
臺北市北投區永欣里,台灣團結聯盟,1,103,6.64%
臺北市北投區永欣里,建國黨,2,5,0.32%
臺北市北投區永欣里,中國民眾黨,3,21,1.35%
臺北市北投區永欣里,無黨團結聯盟,4,2,0.13%
臺北市北投區永欣里,親民黨,5,118,7.60%
臺北市北投區永欣里,新黨,6,44,2.84%
臺北市北投區永欣里,農民黨,7,0,0.00%
臺北市北投區永欣里,民主進步黨,8,523,33.70%
臺北市北投區永欣里,公民黨,9,1,0.06%
臺北市北投區永欣里,中國國民黨,10,671,43.23%
臺北市北投區永欣里,張亞中等150人聯盟,11,63,4.06%
臺北市北投區永欣里,王廷興等20人聯盟,12,1,0.06%
臺北市北投區永明里,台灣團結聯盟,1,58,5.59%
臺北市北投區永明里,建國黨,2,0,0.00%
臺北市北投區永明里,中國民眾黨,3,17,1.64%
臺北市北投區永明里,無黨團結聯盟,4,2,0.19%
臺北市北投區永明里,親民黨,5,45,4.34%
臺北市北投區永明里,新黨,6,12,1.16%
臺北市北投區永明里,農民黨,7,1,0.10%
臺北市北投區永明里,民主進步黨,8,412,39.73%
臺北市北投區永明里,公民黨,9,1,0.10%
臺北市北投區永明里,中國國民黨,10,453,43.68%
臺北市北投區永明里,張亞中等150人聯盟,11,33,3.18%
臺北市北投區永明里,王廷興等20人聯盟,12,3,0.29%
臺北市北投區東華里,台灣團結聯盟,1,79,7.12%
臺北市北投區東華里,建國黨,2,2,0.18%
臺北市北投區東華里,中國民眾黨,3,16,1.44%
臺北市北投區東華里,無黨團結聯盟,4,1,0.09%
臺北市北投區東華里,親民黨,5,66,5.95%
臺北市北投區東華里,新黨,6,32,2.89%
臺北市北投區東華里,農民黨,7,0,0.00%
臺北市北投區東華里,民主進步黨,8,370,33.36%
臺北市北投區東華里,公民黨,9,0,0.00%
臺北市北投區東華里,中國國民黨,10,519,46.80%
臺北市北投區東華里,張亞中等150人聯盟,11,21,1.89%
臺北市北投區東華里,王廷興等20人聯盟,12,3,0.27%
臺北市北投區吉利里,台灣團結聯盟,1,87,6.22%
臺北市北投區吉利里,建國黨,2,4,0.29%
臺北市北投區吉利里,中國民眾黨,3,29,2.07%
臺北市北投區吉利里,無黨團結聯盟,4,1,0.07%
臺北市北投區吉利里,親民黨,5,77,5.51%
臺北市北投區吉利里,新黨,6,23,1.65%
臺北市北投區吉利里,農民黨,7,1,0.07%
臺北市北投區吉利里,民主進步黨,8,482,34.48%
臺北市北投區吉利里,公民黨,9,3,0.21%
臺北市北投區吉利里,中國國民黨,10,645,46.14%
臺北市北投區吉利里,張亞中等150人聯盟,11,45,3.22%
臺北市北投區吉利里,王廷興等20人聯盟,12,1,0.07%
臺北市北投區吉慶里,台灣團結聯盟,1,82,7.85%
臺北市北投區吉慶里,建國黨,2,4,0.38%
臺北市北投區吉慶里,中國民眾黨,3,9,0.86%
臺北市北投區吉慶里,無黨團結聯盟,4,4,0.38%
臺北市北投區吉慶里,親民黨,5,41,3.93%
臺北市北投區吉慶里,新黨,6,11,1.05%
臺北市北投區吉慶里,農民黨,7,0,0.00%
臺北市北投區吉慶里,民主進步黨,8,505,48.37%
臺北市北投區吉慶里,公民黨,9,1,0.10%
臺北市北投區吉慶里,中國國民黨,10,364,34.87%
臺北市北投區吉慶里,張亞中等150人聯盟,11,22,2.11%
臺北市北投區吉慶里,王廷興等20人聯盟,12,1,0.10%
臺北市北投區尊賢里,台灣團結聯盟,1,72,8.19%
臺北市北投區尊賢里,建國黨,2,0,0.00%
臺北市北投區尊賢里,中國民眾黨,3,11,1.25%
臺北市北投區尊賢里,無黨團結聯盟,4,2,0.23%
臺北市北投區尊賢里,親民黨,5,43,4.89%
臺北市北投區尊賢里,新黨,6,9,1.02%
臺北市北投區尊賢里,農民黨,7,1,0.11%
臺北市北投區尊賢里,民主進步黨,8,430,48.92%
臺北市北投區尊賢里,公民黨,9,4,0.46%
臺北市北投區尊賢里,中國國民黨,10,288,32.76%
臺北市北投區尊賢里,張亞中等150人聯盟,11,18,2.05%
臺北市北投區尊賢里,王廷興等20人聯盟,12,1,0.11%
臺北市北投區立賢里,台灣團結聯盟,1,91,9.41%
臺北市北投區立賢里,建國黨,2,1,0.10%
臺北市北投區立賢里,中國民眾黨,3,10,1.03%
臺北市北投區立賢里,無黨團結聯盟,4,3,0.31%
臺北市北投區立賢里,親民黨,5,42,4.34%
臺北市北投區立賢里,新黨,6,17,1.76%
臺北市北投區立賢里,農民黨,7,1,0.10%
臺北市北投區立賢里,民主進步黨,8,468,48.40%
臺北市北投區立賢里,公民黨,9,0,0.00%
臺北市北投區立賢里,中國國民黨,10,310,32.06%
臺北市北投區立賢里,張亞中等150人聯盟,11,22,2.28%
臺北市北投區立賢里,王廷興等20人聯盟,12,2,0.21%
臺北市北投區立農里,台灣團結聯盟,1,123,6.96%
臺北市北投區立農里,建國黨,2,4,0.23%
臺北市北投區立農里,中國民眾黨,3,24,1.36%
臺北市北投區立農里,無黨團結聯盟,4,2,0.11%
臺北市北投區立農里,親民黨,5,87,4.93%
臺北市北投區立農里,新黨,6,21,1.19%
臺北市北投區立農里,農民黨,7,7,0.40%
臺北市北投區立農里,民主進步黨,8,832,47.11%
臺北市北投區立農里,公民黨,9,1,0.06%
臺北市北投區立農里,中國國民黨,10,634,35.90%
臺北市北投區立農里,張亞中等150人聯盟,11,30,1.70%
臺北市北投區立農里,王廷興等20人聯盟,12,1,0.06%
臺北市北投區八仙里,台灣團結聯盟,1,90,10.53%
臺北市北投區八仙里,建國黨,2,3,0.35%
臺北市北投區八仙里,中國民眾黨,3,10,1.17%
臺北市北投區八仙里,無黨團結聯盟,4,1,0.12%
臺北市北投區八仙里,親民黨,5,50,5.85%
臺北市北投區八仙里,新黨,6,12,1.40%
臺北市北投區八仙里,農民黨,7,0,0.00%
臺北市北投區八仙里,民主進步黨,8,363,42.46%
臺北市北投區八仙里,公民黨,9,0,0.00%
臺北市北投區八仙里,中國國民黨,10,309,36.14%
臺北市北投區八仙里,張亞中等150人聯盟,11,16,1.87%
臺北市北投區八仙里,王廷興等20人聯盟,12,1,0.12%
臺北市北投區洲美里,台灣團結聯盟,1,46,12.01%
臺北市北投區洲美里,建國黨,2,1,0.26%
臺北市北投區洲美里,中國民眾黨,3,6,1.57%
臺北市北投區洲美里,無黨團結聯盟,4,2,0.52%
臺北市北投區洲美里,親民黨,5,3,0.78%
臺北市北投區洲美里,新黨,6,1,0.26%
臺北市北投區洲美里,農民黨,7,2,0.52%
臺北市北投區洲美里,民主進步黨,8,238,62.14%
臺北市北投區洲美里,公民黨,9,0,0.00%
臺北市北投區洲美里,中國國民黨,10,79,20.63%
臺北市北投區洲美里,張亞中等150人聯盟,11,3,0.78%
臺北市北投區洲美里,王廷興等20人聯盟,12,2,0.52%
臺北市北投區奇岩里,台灣團結聯盟,1,168,8.61%
臺北市北投區奇岩里,建國黨,2,7,0.36%
臺北市北投區奇岩里,中國民眾黨,3,16,0.82%
臺北市北投區奇岩里,無黨團結聯盟,4,2,0.10%
臺北市北投區奇岩里,親民黨,5,109,5.59%
臺北市北投區奇岩里,新黨,6,36,1.85%
臺北市北投區奇岩里,農民黨,7,4,0.21%
臺北市北投區奇岩里,民主進步黨,8,791,40.54%
臺北市北投區奇岩里,公民黨,9,2,0.10%
臺北市北投區奇岩里,中國國民黨,10,763,39.11%
臺北市北投區奇岩里,張亞中等150人聯盟,11,52,2.67%
臺北市北投區奇岩里,王廷興等20人聯盟,12,1,0.05%
臺北市北投區清江里,台灣團結聯盟,1,143,8.01%
臺北市北投區清江里,建國黨,2,6,0.34%
臺北市北投區清江里,中國民眾黨,3,25,1.40%
臺北市北投區清江里,無黨團結聯盟,4,6,0.34%
臺北市北投區清江里,親民黨,5,72,4.03%
臺北市北投區清江里,新黨,6,21,1.18%
臺北市北投區清江里,農民黨,7,5,0.28%
臺北市北投區清江里,民主進步黨,8,821,45.97%
臺北市北投區清江里,公民黨,9,2,0.11%
臺北市北投區清江里,中國國民黨,10,647,36.23%
臺北市北投區清江里,張亞中等150人聯盟,11,37,2.07%
臺北市北投區清江里,王廷興等20人聯盟,12,1,0.06%
臺北市北投區中央里,台灣團結聯盟,1,100,8.35%
臺北市北投區中央里,建國黨,2,1,0.08%
臺北市北投區中央里,中國民眾黨,3,9,0.75%
臺北市北投區中央里,無黨團結聯盟,4,2,0.17%
臺北市北投區中央里,親民黨,5,54,4.51%
臺北市北投區中央里,新黨,6,10,0.84%
臺北市北投區中央里,農民黨,7,2,0.17%
臺北市北投區中央里,民主進步黨,8,590,49.29%
臺北市北投區中央里,公民黨,9,1,0.08%
臺北市北投區中央里,中國國民黨,10,406,33.92%
臺北市北投區中央里,張亞中等150人聯盟,11,22,1.84%
臺北市北投區中央里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區長安里,台灣團結聯盟,1,98,9.17%
臺北市北投區長安里,建國黨,2,1,0.09%
臺北市北投區長安里,中國民眾黨,3,10,0.94%
臺北市北投區長安里,無黨團結聯盟,4,2,0.19%
臺北市北投區長安里,親民黨,5,47,4.40%
臺北市北投區長安里,新黨,6,12,1.12%
臺北市北投區長安里,農民黨,7,5,0.47%
臺北市北投區長安里,民主進步黨,8,520,48.64%
臺北市北投區長安里,公民黨,9,1,0.09%
臺北市北投區長安里,中國國民黨,10,349,32.65%
臺北市北投區長安里,張亞中等150人聯盟,11,24,2.25%
臺北市北投區長安里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區大同里,台灣團結聯盟,1,83,7.44%
臺北市北投區大同里,建國黨,2,4,0.36%
臺北市北投區大同里,中國民眾黨,3,16,1.43%
臺北市北投區大同里,無黨團結聯盟,4,3,0.27%
臺北市北投區大同里,親民黨,5,50,4.48%
臺北市北投區大同里,新黨,6,14,1.25%
臺北市北投區大同里,農民黨,7,0,0.00%
臺北市北投區大同里,民主進步黨,8,570,51.08%
臺北市北投區大同里,公民黨,9,1,0.09%
臺北市北投區大同里,中國國民黨,10,358,32.08%
臺北市北投區大同里,張亞中等150人聯盟,11,17,1.52%
臺北市北投區大同里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區溫泉里,台灣團結聯盟,1,124,9.60%
臺北市北投區溫泉里,建國黨,2,3,0.23%
臺北市北投區溫泉里,中國民眾黨,3,16,1.24%
臺北市北投區溫泉里,無黨團結聯盟,4,4,0.31%
臺北市北投區溫泉里,親民黨,5,69,5.34%
臺北市北投區溫泉里,新黨,6,10,0.77%
臺北市北投區溫泉里,農民黨,7,2,0.15%
臺北市北投區溫泉里,民主進步黨,8,559,43.30%
臺北市北投區溫泉里,公民黨,9,1,0.08%
臺北市北投區溫泉里,中國國民黨,10,482,37.34%
臺北市北投區溫泉里,張亞中等150人聯盟,11,20,1.55%
臺北市北投區溫泉里,王廷興等20人聯盟,12,1,0.08%
臺北市北投區林泉里,台灣團結聯盟,1,46,7.18%
臺北市北投區林泉里,建國黨,2,2,0.31%
臺北市北投區林泉里,中國民眾黨,3,7,1.09%
臺北市北投區林泉里,無黨團結聯盟,4,2,0.31%
臺北市北投區林泉里,親民黨,5,47,7.33%
臺北市北投區林泉里,新黨,6,23,3.59%
臺北市北投區林泉里,農民黨,7,2,0.31%
臺北市北投區林泉里,民主進步黨,8,163,25.43%
臺北市北投區林泉里,公民黨,9,2,0.31%
臺北市北投區林泉里,中國國民黨,10,312,48.67%
臺北市北投區林泉里,張亞中等150人聯盟,11,33,5.15%
臺北市北投區林泉里,王廷興等20人聯盟,12,2,0.31%
臺北市北投區中心里,台灣團結聯盟,1,96,9.39%
臺北市北投區中心里,建國黨,2,1,0.10%
臺北市北投區中心里,中國民眾黨,3,15,1.47%
臺北市北投區中心里,無黨團結聯盟,4,2,0.20%
臺北市北投區中心里,親民黨,5,47,4.60%
臺北市北投區中心里,新黨,6,20,1.96%
臺北市北投區中心里,農民黨,7,3,0.29%
臺北市北投區中心里,民主進步黨,8,404,39.53%
臺北市北投區中心里,公民黨,9,1,0.10%
臺北市北投區中心里,中國國民黨,10,404,39.53%
臺北市北投區中心里,張亞中等150人聯盟,11,29,2.84%
臺北市北投區中心里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區中庸里,台灣團結聯盟,1,79,9.46%
臺北市北投區中庸里,建國黨,2,2,0.24%
臺北市北投區中庸里,中國民眾黨,3,10,1.20%
臺北市北投區中庸里,無黨團結聯盟,4,3,0.36%
臺北市北投區中庸里,親民黨,5,45,5.39%
臺北市北投區中庸里,新黨,6,12,1.44%
臺北市北投區中庸里,農民黨,7,5,0.60%
臺北市北投區中庸里,民主進步黨,8,379,45.39%
臺北市北投區中庸里,公民黨,9,3,0.36%
臺北市北投區中庸里,中國國民黨,10,285,34.13%
臺北市北投區中庸里,張亞中等150人聯盟,11,11,1.32%
臺北市北投區中庸里,王廷興等20人聯盟,12,1,0.12%
臺北市北投區開明里,台灣團結聯盟,1,113,8.66%
臺北市北投區開明里,建國黨,2,6,0.46%
臺北市北投區開明里,中國民眾黨,3,19,1.46%
臺北市北投區開明里,無黨團結聯盟,4,2,0.15%
臺北市北投區開明里,親民黨,5,82,6.28%
臺北市北投區開明里,新黨,6,24,1.84%
臺北市北投區開明里,農民黨,7,2,0.15%
臺北市北投區開明里,民主進步黨,8,454,34.79%
臺北市北投區開明里,公民黨,9,2,0.15%
臺北市北投區開明里,中國國民黨,10,566,43.37%
臺北市北投區開明里,張亞中等150人聯盟,11,34,2.61%
臺北市北投區開明里,王廷興等20人聯盟,12,1,0.08%
臺北市北投區中和里,台灣團結聯盟,1,86,7.21%
臺北市北投區中和里,建國黨,2,2,0.17%
臺北市北投區中和里,中國民眾黨,3,17,1.43%
臺北市北投區中和里,無黨團結聯盟,4,2,0.17%
臺北市北投區中和里,親民黨,5,71,5.96%
臺北市北投區中和里,新黨,6,26,2.18%
臺北市北投區中和里,農民黨,7,1,0.08%
臺北市北投區中和里,民主進步黨,8,431,36.16%
臺北市北投區中和里,公民黨,9,2,0.17%
臺北市北投區中和里,中國國民黨,10,522,43.79%
臺北市北投區中和里,張亞中等150人聯盟,11,32,2.68%
臺北市北投區中和里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區智仁里,台灣團結聯盟,1,72,5.53%
臺北市北投區智仁里,建國黨,2,2,0.15%
臺北市北投區智仁里,中國民眾黨,3,12,0.92%
臺北市北投區智仁里,無黨團結聯盟,4,1,0.08%
臺北市北投區智仁里,親民黨,5,86,6.60%
臺北市北投區智仁里,新黨,6,13,1.00%
臺北市北投區智仁里,農民黨,7,1,0.08%
臺北市北投區智仁里,民主進步黨,8,468,35.92%
臺北市北投區智仁里,公民黨,9,4,0.31%
臺北市北投區智仁里,中國國民黨,10,613,47.05%
臺北市北投區智仁里,張亞中等150人聯盟,11,29,2.23%
臺北市北投區智仁里,王廷興等20人聯盟,12,2,0.15%
臺北市北投區秀山里,台灣團結聯盟,1,47,5.70%
臺北市北投區秀山里,建國黨,2,1,0.12%
臺北市北投區秀山里,中國民眾黨,3,13,1.58%
臺北市北投區秀山里,無黨團結聯盟,4,1,0.12%
臺北市北投區秀山里,親民黨,5,59,7.15%
臺北市北投區秀山里,新黨,6,18,2.18%
臺北市北投區秀山里,農民黨,7,0,0.00%
臺北市北投區秀山里,民主進步黨,8,275,33.33%
臺北市北投區秀山里,公民黨,9,3,0.36%
臺北市北投區秀山里,中國國民黨,10,396,48.00%
臺北市北投區秀山里,張亞中等150人聯盟,11,12,1.45%
臺北市北投區秀山里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區文化里,台灣團結聯盟,1,31,2.95%
臺北市北投區文化里,建國黨,2,0,0.00%
臺北市北投區文化里,中國民眾黨,3,9,0.86%
臺北市北投區文化里,無黨團結聯盟,4,6,0.57%
臺北市北投區文化里,親民黨,5,86,8.19%
臺北市北投區文化里,新黨,6,45,4.29%
臺北市北投區文化里,農民黨,7,1,0.10%
臺北市北投區文化里,民主進步黨,8,206,19.62%
臺北市北投區文化里,公民黨,9,1,0.10%
臺北市北投區文化里,中國國民黨,10,631,60.10%
臺北市北投區文化里,張亞中等150人聯盟,11,33,3.14%
臺北市北投區文化里,王廷興等20人聯盟,12,1,0.10%
臺北市北投區豐年里,台灣團結聯盟,1,33,4.71%
臺北市北投區豐年里,建國黨,2,1,0.14%
臺北市北投區豐年里,中國民眾黨,3,9,1.29%
臺北市北投區豐年里,無黨團結聯盟,4,2,0.29%
臺北市北投區豐年里,親民黨,5,34,4.86%
臺北市北投區豐年里,新黨,6,6,0.86%
臺北市北投區豐年里,農民黨,7,1,0.14%
臺北市北投區豐年里,民主進步黨,8,305,43.57%
臺北市北投區豐年里,公民黨,9,2,0.29%
臺北市北投區豐年里,中國國民黨,10,296,42.29%
臺北市北投區豐年里,張亞中等150人聯盟,11,10,1.43%
臺北市北投區豐年里,王廷興等20人聯盟,12,1,0.14%
臺北市北投區稻香里,台灣團結聯盟,1,57,6.08%
臺北市北投區稻香里,建國黨,2,0,0.00%
臺北市北投區稻香里,中國民眾黨,3,13,1.39%
臺北市北投區稻香里,無黨團結聯盟,4,2,0.21%
臺北市北投區稻香里,親民黨,5,76,8.10%
臺北市北投區稻香里,新黨,6,16,1.71%
臺北市北投區稻香里,農民黨,7,3,0.32%
臺北市北投區稻香里,民主進步黨,8,319,34.01%
臺北市北投區稻香里,公民黨,9,3,0.32%
臺北市北投區稻香里,中國國民黨,10,431,45.95%
臺北市北投區稻香里,張亞中等150人聯盟,11,16,1.71%
臺北市北投區稻香里,王廷興等20人聯盟,12,2,0.21%
臺北市北投區桃源里,台灣團結聯盟,1,72,7.79%
臺北市北投區桃源里,建國黨,2,3,0.32%
臺北市北投區桃源里,中國民眾黨,3,17,1.84%
臺北市北投區桃源里,無黨團結聯盟,4,1,0.11%
臺北市北投區桃源里,親民黨,5,44,4.76%
臺北市北投區桃源里,新黨,6,12,1.30%
臺北市北投區桃源里,農民黨,7,1,0.11%
臺北市北投區桃源里,民主進步黨,8,416,45.02%
臺北市北投區桃源里,公民黨,9,3,0.32%
臺北市北投區桃源里,中國國民黨,10,333,36.04%
臺北市北投區桃源里,張亞中等150人聯盟,11,20,2.16%
臺北市北投區桃源里,王廷興等20人聯盟,12,2,0.22%
臺北市北投區一德里,台灣團結聯盟,1,106,10.44%
臺北市北投區一德里,建國黨,2,4,0.39%
臺北市北投區一德里,中國民眾黨,3,13,1.28%
臺北市北投區一德里,無黨團結聯盟,4,5,0.49%
臺北市北投區一德里,親民黨,5,31,3.05%
臺北市北投區一德里,新黨,6,8,0.79%
臺北市北投區一德里,農民黨,7,1,0.10%
臺北市北投區一德里,民主進步黨,8,497,48.97%
臺北市北投區一德里,公民黨,9,3,0.30%
臺北市北投區一德里,中國國民黨,10,328,32.32%
臺北市北投區一德里,張亞中等150人聯盟,11,19,1.87%
臺北市北投區一德里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區關渡里,台灣團結聯盟,1,145,7.21%
臺北市北投區關渡里,建國黨,2,7,0.35%
臺北市北投區關渡里,中國民眾黨,3,30,1.49%
臺北市北投區關渡里,無黨團結聯盟,4,8,0.40%
臺北市北投區關渡里,親民黨,5,151,7.51%
臺北市北投區關渡里,新黨,6,32,1.59%
臺北市北投區關渡里,農民黨,7,3,0.15%
臺北市北投區關渡里,民主進步黨,8,839,41.74%
臺北市北投區關渡里,公民黨,9,4,0.20%
臺北市北投區關渡里,中國國民黨,10,737,36.67%
臺北市北投區關渡里,張亞中等150人聯盟,11,46,2.29%
臺北市北投區關渡里,王廷興等20人聯盟,12,8,0.40%
臺北市北投區泉源里,台灣團結聯盟,1,27,6.70%
臺北市北投區泉源里,建國黨,2,2,0.50%
臺北市北投區泉源里,中國民眾黨,3,6,1.49%
臺北市北投區泉源里,無黨團結聯盟,4,1,0.25%
臺北市北投區泉源里,親民黨,5,10,2.48%
臺北市北投區泉源里,新黨,6,5,1.24%
臺北市北投區泉源里,農民黨,7,4,0.99%
臺北市北投區泉源里,民主進步黨,8,191,47.39%
臺北市北投區泉源里,公民黨,9,1,0.25%
臺北市北投區泉源里,中國國民黨,10,135,33.50%
臺北市北投區泉源里,張亞中等150人聯盟,11,19,4.71%
臺北市北投區泉源里,王廷興等20人聯盟,12,2,0.50%
臺北市北投區湖山里,台灣團結聯盟,1,39,8.72%
臺北市北投區湖山里,建國黨,2,2,0.45%
臺北市北投區湖山里,中國民眾黨,3,7,1.57%
臺北市北投區湖山里,無黨團結聯盟,4,3,0.67%
臺北市北投區湖山里,親民黨,5,30,6.71%
臺北市北投區湖山里,新黨,6,10,2.24%
臺北市北投區湖山里,農民黨,7,2,0.45%
臺北市北投區湖山里,民主進步黨,8,174,38.93%
臺北市北投區湖山里,公民黨,9,1,0.22%
臺北市北投區湖山里,中國國民黨,10,163,36.47%
臺北市北投區湖山里,張亞中等150人聯盟,11,16,3.58%
臺北市北投區湖山里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區大屯里,台灣團結聯盟,1,15,7.32%
臺北市北投區大屯里,建國黨,2,0,0.00%
臺北市北投區大屯里,中國民眾黨,3,1,0.49%
臺北市北投區大屯里,無黨團結聯盟,4,0,0.00%
臺北市北投區大屯里,親民黨,5,8,3.90%
臺北市北投區大屯里,新黨,6,1,0.49%
臺北市北投區大屯里,農民黨,7,1,0.49%
臺北市北投區大屯里,民主進步黨,8,137,66.83%
臺北市北投區大屯里,公民黨,9,1,0.49%
臺北市北投區大屯里,中國國民黨,10,35,17.07%
臺北市北投區大屯里,張亞中等150人聯盟,11,6,2.93%
臺北市北投區大屯里,王廷興等20人聯盟,12,0,0.00%
臺北市北投區湖田里,台灣團結聯盟,1,5,3.25%
臺北市北投區湖田里,建國黨,2,0,0.00%
臺北市北投區湖田里,中國民眾黨,3,1,0.65%
