地區,政黨,號次,得票數,得票率
臺北市信義區,民主進步黨,3,37670,27.21%
臺北市信義區,台灣團結聯盟,4,10436,7.54%
臺北市信義區,中國國民黨,5,69123,49.94%
臺北市信義區,新黨,6,6324,4.56%
臺北市信義區,健保免費連線,7,895,0.64%
臺北市信義區,綠黨,8,4138,2.98%
臺北市信義區,親民黨,9,7971,5.75%
臺北市信義區,中華民國臺灣基本法連線,10,138,0.09%
臺北市信義區,台灣主義黨,11,187,0.13%
臺北市文山區,台灣國民會議,1,1444,0.90%
臺北市文山區,人民最大黨,2,555,0.34%
臺北市文山區,民主進步黨,3,36624,22.88%
臺北市文山區,台灣團結聯盟,4,9655,6.03%
臺北市文山區,中國國民黨,5,87356,54.59%
臺北市文山區,新黨,6,8250,5.15%
臺北市文山區,健保免費連線,7,1051,0.65%
臺北市文山區,綠黨,8,5372,3.35%
臺北市文山區,親民黨,9,9382,5.86%
臺北市文山區,中華民國臺灣基本法連線,10,153,0.09%
臺北市文山區,台灣主義黨,11,169,0.10%
新北市石門區,台灣國民會議,1,120,1.75%
新北市石門區,人民最大黨,2,73,1.06%
新北市石門區,民主進步黨,3,2118,31.01%
新北市石門區,台灣團結聯盟,4,568,8.31%
新北市石門區,中國國民黨,5,3416,50.02%
新北市石門區,新黨,6,49,0.71%
新北市石門區,健保免費連線,7,72,1.05%
新北市石門區,綠黨,8,94,1.37%
新北市石門區,親民黨,9,292,4.27%
新北市石門區,中華民國臺灣基本法連線,10,8,0.11%
新北市石門區,台灣主義黨,11,18,0.26%
新北市三芝區,台灣國民會議,1,195,1.53%
新北市三芝區,人民最大黨,2,105,0.82%
新北市三芝區,民主進步黨,3,3520,27.66%
新北市三芝區,台灣團結聯盟,4,1313,10.31%
新北市三芝區,中國國民黨,5,6423,50.47%
新北市三芝區,新黨,6,170,1.33%
新北市三芝區,健保免費連線,7,172,1.35%
新北市三芝區,綠黨,8,246,1.93%
新北市三芝區,親民黨,9,521,4.09%
新北市三芝區,中華民國臺灣基本法連線,10,25,0.19%
新北市三芝區,台灣主義黨,11,35,0.27%
新北市淡水區,台灣國民會議,1,866,1.02%
新北市淡水區,人民最大黨,2,404,0.47%
新北市淡水區,民主進步黨,3,25826,30.42%
新北市淡水區,台灣團結聯盟,4,6857,8.07%
新北市淡水區,中國國民黨,5,40672,47.92%
新北市淡水區,新黨,6,1818,2.14%
新北市淡水區,健保免費連線,7,835,0.98%
新北市淡水區,綠黨,8,2603,3.06%
新北市淡水區,親民黨,9,4748,5.59%
新北市淡水區,中華民國臺灣基本法連線,10,90,0.10%
新北市淡水區,台灣主義黨,11,153,0.18%
新北市八里區,台灣國民會議,1,220,1.11%
新北市八里區,人民最大黨,2,126,0.63%
新北市八里區,民主進步黨,3,6776,34.35%
新北市八里區,台灣團結聯盟,4,1700,8.61%
新北市八里區,中國國民黨,5,8639,43.80%
新北市八里區,新黨,6,315,1.59%
新北市八里區,健保免費連線,7,281,1.42%
新北市八里區,綠黨,8,348,1.76%
新北市八里區,親民黨,9,1252,6.34%
新北市八里區,中華民國臺灣基本法連線,10,25,0.12%
新北市八里區,台灣主義黨,11,40,0.20%
新北市林口區,台灣國民會議,1,477,1.01%
新北市林口區,人民最大黨,2,213,0.45%
新北市林口區,民主進步黨,3,14923,31.80%
新北市林口區,台灣團結聯盟,4,3556,7.57%
新北市林口區,中國國民黨,5,21675,46.18%
新北市林口區,新黨,6,1027,2.18%
新北市林口區,健保免費連線,7,449,0.95%
新北市林口區,綠黨,8,1007,2.14%
新北市林口區,親民黨,9,3469,7.39%
新北市林口區,中華民國臺灣基本法連線,10,55,0.11%
新北市林口區,台灣主義黨,11,75,0.15%
新北市泰山區,台灣國民會議,1,371,0.84%
新北市泰山區,人民最大黨,2,236,0.54%
新北市泰山區,民主進步黨,3,15913,36.41%
新北市泰山區,台灣團結聯盟,4,3498,8.00%
新北市泰山區,中國國民黨,5,19261,44.08%
新北市泰山區,新黨,6,535,1.22%
新北市泰山區,健保免費連線,7,432,0.98%
新北市泰山區,綠黨,8,769,1.75%
新北市泰山區,親民黨,9,2550,5.83%
新北市泰山區,中華民國臺灣基本法連線,10,54,0.12%
新北市泰山區,台灣主義黨,11,75,0.17%
新北市五股區,台灣國民會議,1,319,0.70%
新北市五股區,人民最大黨,2,275,0.60%
新北市五股區,民主進步黨,3,16956,37.59%
新北市五股區,台灣團結聯盟,4,4151,9.20%
新北市五股區,中國國民黨,5,18954,42.03%
新北市五股區,新黨,6,562,1.24%
新北市五股區,健保免費連線,7,580,1.28%
新北市五股區,綠黨,8,705,1.56%
新北市五股區,親民黨,9,2450,5.43%
新北市五股區,中華民國臺灣基本法連線,10,55,0.12%
新北市五股區,台灣主義黨,11,89,0.19%
新北市蘆洲區,台灣國民會議,1,761,0.68%
新北市蘆洲區,人民最大黨,2,613,0.55%
新北市蘆洲區,民主進步黨,3,44314,39.94%
新北市蘆洲區,台灣團結聯盟,4,11468,10.33%
新北市蘆洲區,中國國民黨,5,43481,39.19%
新北市蘆洲區,新黨,6,1199,1.08%
新北市蘆洲區,健保免費連線,7,1192,1.07%
新北市蘆洲區,綠黨,8,1748,1.57%
新北市蘆洲區,親民黨,9,5879,5.29%
新北市蘆洲區,中華民國臺灣基本法連線,10,107,0.09%
新北市蘆洲區,台灣主義黨,11,184,0.16%
新北市三重區,台灣國民會議,1,1873,0.79%
新北市三重區,人民最大黨,2,1093,0.46%
新北市三重區,民主進步黨,3,94302,39.96%
新北市三重區,台灣團結聯盟,4,23135,9.80%
新北市三重區,中國國民黨,5,92475,39.18%
新北市三重區,新黨,6,2672,1.13%
新北市三重區,健保免費連線,7,2669,1.13%
新北市三重區,綠黨,8,4262,1.80%
新北市三重區,親民黨,9,12789,5.41%
新北市三重區,中華民國臺灣基本法連線,10,302,0.12%
新北市三重區,台灣主義黨,11,416,0.17%
新北市新莊區,台灣國民會議,1,1441,0.62%
新北市新莊區,人民最大黨,2,1245,0.53%
新北市新莊區,民主進步黨,3,88740,38.43%
新北市新莊區,台灣團結聯盟,4,19369,8.39%
新北市新莊區,中國國民黨,5,97233,42.11%
新北市新莊區,新黨,6,2626,1.13%
新北市新莊區,健保免費連線,7,2715,1.17%
新北市新莊區,綠黨,8,4387,1.90%
新北市新莊區,親民黨,9,12452,5.39%
新北市新莊區,中華民國臺灣基本法連線,10,269,0.11%
新北市新莊區,台灣主義黨,11,380,0.16%
新北市樹林區,台灣國民會議,1,753,0.74%
新北市樹林區,人民最大黨,2,516,0.50%
新北市樹林區,民主進步黨,3,37072,36.60%
新北市樹林區,台灣團結聯盟,4,8473,8.36%
新北市樹林區,中國國民黨,5,43734,43.18%
新北市樹林區,新黨,6,1269,1.25%
新北市樹林區,健保免費連線,7,1418,1.40%
新北市樹林區,綠黨,8,1860,1.83%
新北市樹林區,親民黨,9,5790,5.71%
新北市樹林區,中華民國臺灣基本法連線,10,173,0.17%
新北市樹林區,台灣主義黨,11,212,0.20%
新北市鶯歌區,台灣國民會議,1,383,0.79%
新北市鶯歌區,人民最大黨,2,300,0.62%
新北市鶯歌區,民主進步黨,3,17871,36.93%
新北市鶯歌區,台灣團結聯盟,4,3821,7.89%
新北市鶯歌區,中國國民黨,5,20766,42.91%
新北市鶯歌區,新黨,6,525,1.08%
新北市鶯歌區,健保免費連線,7,869,1.79%
新北市鶯歌區,綠黨,8,753,1.55%
新北市鶯歌區,親民黨,9,2737,5.65%
新北市鶯歌區,中華民國臺灣基本法連線,10,65,0.13%
新北市鶯歌區,台灣主義黨,11,294,0.60%
新北市板橋區,台灣國民會議,1,2494,0.75%
新北市板橋區,人民最大黨,2,1797,0.54%
新北市板橋區,民主進步黨,3,118369,35.79%
新北市板橋區,台灣團結聯盟,4,28859,8.72%
新北市板橋區,中國國民黨,5,143745,43.46%
新北市板橋區,新黨,6,5139,1.55%
新北市板橋區,健保免費連線,7,4126,1.24%
新北市板橋區,綠黨,8,7262,2.19%
新北市板橋區,親民黨,9,17950,5.42%
新北市板橋區,中華民國臺灣基本法連線,10,370,0.11%
新北市板橋區,台灣主義黨,11,573,0.17%
新北市中和區,台灣國民會議,1,1751,0.68%
新北市中和區,人民最大黨,2,1421,0.55%
新北市中和區,民主進步黨,3,71705,27.88%
新北市中和區,台灣團結聯盟,4,17601,6.84%
新北市中和區,中國國民黨,5,131084,50.97%
新北市中和區,新黨,6,8356,3.24%
新北市中和區,健保免費連線,7,2890,1.12%
新北市中和區,綠黨,8,5602,2.17%
新北市中和區,親民黨,9,16063,6.24%
新北市中和區,中華民國臺灣基本法連線,10,275,0.10%
新北市中和區,台灣主義黨,11,419,0.16%
新北市永和區,台灣國民會議,1,951,0.67%
新北市永和區,人民最大黨,2,538,0.38%
新北市永和區,民主進步黨,3,33136,23.60%
新北市永和區,台灣團結聯盟,4,8668,6.17%
新北市永和區,中國國民黨,5,77120,54.93%
新北市永和區,新黨,6,5243,3.73%
新北市永和區,健保免費連線,7,1300,0.92%
新北市永和區,綠黨,8,3553,2.53%
新北市永和區,親民黨,9,9574,6.82%
新北市永和區,中華民國臺灣基本法連線,10,144,0.10%
新北市永和區,台灣主義黨,11,153,0.10%
新北市土城區,台灣國民會議,1,909,0.67%
新北市土城區,人民最大黨,2,795,0.58%
新北市土城區,民主進步黨,3,47471,35.04%
新北市土城區,台灣團結聯盟,4,10418,7.69%
新北市土城區,中國國民黨,5,61203,45.18%
新北市土城區,新黨,6,2000,1.47%
新北市土城區,健保免費連線,7,1848,1.36%
新北市土城區,綠黨,8,2660,1.96%
新北市土城區,親民黨,9,7718,5.69%
新北市土城區,中華民國臺灣基本法連線,10,156,0.11%
新北市土城區,台灣主義黨,11,266,0.19%
新北市三峽區,台灣國民會議,1,469,0.83%
新北市三峽區,人民最大黨,2,382,0.68%
新北市三峽區,民主進步黨,3,19473,34.77%
新北市三峽區,台灣團結聯盟,4,4243,7.57%
新北市三峽區,中國國民黨,5,25317,45.21%
新北市三峽區,新黨,6,844,1.50%
新北市三峽區,健保免費連線,7,641,1.14%
新北市三峽區,綠黨,8,975,1.74%
新北市三峽區,親民黨,9,3354,5.99%
新北市三峽區,中華民國臺灣基本法連線,10,80,0.14%
新北市三峽區,台灣主義黨,11,214,0.38%
新北市新店區,台灣國民會議,1,1511,0.83%
新北市新店區,人民最大黨,2,867,0.47%
新北市新店區,民主進步黨,3,43084,23.78%
新北市新店區,台灣團結聯盟,4,10002,5.52%
新北市新店區,中國國民黨,5,99364,54.84%
新北市新店區,新黨,6,8064,4.45%
新北市新店區,健保免費連線,7,1521,0.83%
新北市新店區,綠黨,8,4244,2.34%
新北市新店區,親民黨,9,12112,6.68%
新北市新店區,中華民國臺灣基本法連線,10,149,0.08%
新北市新店區,台灣主義黨,11,248,0.13%
新北市深坑區,台灣國民會議,1,116,0.83%
新北市深坑區,人民最大黨,2,78,0.56%
新北市深坑區,民主進步黨,3,4499,32.37%
新北市深坑區,台灣團結聯盟,4,944,6.79%
新北市深坑區,中國國民黨,5,6551,47.14%
新北市深坑區,新黨,6,383,2.75%
新北市深坑區,健保免費連線,7,129,0.92%
新北市深坑區,綠黨,8,278,2.00%
新北市深坑區,親民黨,9,874,6.29%
新北市深坑區,中華民國臺灣基本法連線,10,20,0.14%
新北市深坑區,台灣主義黨,11,23,0.16%
新北市石碇區,台灣國民會議,1,74,1.59%
新北市石碇區,人民最大黨,2,45,0.96%
新北市石碇區,民主進步黨,3,2031,43.68%
新北市石碇區,台灣團結聯盟,4,444,9.55%
新北市石碇區,中國國民黨,5,1640,35.27%
新北市石碇區,新黨,6,63,1.35%
新北市石碇區,健保免費連線,7,48,1.03%
新北市石碇區,綠黨,8,61,1.31%
新北市石碇區,親民黨,9,213,4.58%
新北市石碇區,中華民國臺灣基本法連線,10,7,0.15%
新北市石碇區,台灣主義黨,11,23,0.49%
新北市坪林區,台灣國民會議,1,58,1.48%
新北市坪林區,人民最大黨,2,33,0.84%
新北市坪林區,民主進步黨,3,1822,46.61%
新北市坪林區,台灣團結聯盟,4,406,10.38%
新北市坪林區,中國國民黨,5,1269,32.46%
新北市坪林區,新黨,6,36,0.92%
新北市坪林區,健保免費連線,7,38,0.97%
新北市坪林區,綠黨,8,48,1.22%
新北市坪林區,親民黨,9,183,4.68%
新北市坪林區,中華民國臺灣基本法連線,10,6,0.15%
新北市坪林區,台灣主義黨,11,10,0.25%
新北市烏來區,台灣國民會議,1,28,0.89%
新北市烏來區,人民最大黨,2,26,0.82%
新北市烏來區,民主進步黨,3,789,25.14%
新北市烏來區,台灣團結聯盟,4,234,7.45%
新北市烏來區,中國國民黨,5,1662,52.96%
新北市烏來區,新黨,6,54,1.72%
新北市烏來區,健保免費連線,7,28,0.89%
新北市烏來區,綠黨,8,54,1.72%
新北市烏來區,親民黨,9,252,8.03%
新北市烏來區,中華民國臺灣基本法連線,10,1,0.03%
新北市烏來區,台灣主義黨,11,10,0.31%
新北市金山區,台灣國民會議,1,159,1.27%
新北市金山區,人民最大黨,2,155,1.24%
新北市金山區,民主進步黨,3,4258,34.08%
新北市金山區,台灣團結聯盟,4,1251,10.01%
新北市金山區,中國國民黨,5,5575,44.63%
新北市金山區,新黨,6,105,0.84%
新北市金山區,健保免費連線,7,169,1.35%
新北市金山區,綠黨,8,176,1.40%
新北市金山區,親民黨,9,565,4.52%
新北市金山區,中華民國臺灣基本法連線,10,35,0.28%
新北市金山區,台灣主義黨,11,43,0.34%
新北市萬里區,台灣國民會議,1,128,1.02%
新北市萬里區,人民最大黨,2,114,0.91%
新北市萬里區,民主進步黨,3,4126,32.97%
新北市萬里區,台灣團結聯盟,4,1129,9.02%
新北市萬里區,中國國民黨,5,5737,45.85%
新北市萬里區,新黨,6,151,1.20%
新北市萬里區,健保免費連線,7,171,1.36%
新北市萬里區,綠黨,8,154,1.23%
新北市萬里區,親民黨,9,733,5.85%
新北市萬里區,中華民國臺灣基本法連線,10,25,0.19%
新北市萬里區,台灣主義黨,11,44,0.35%
新北市汐止區,台灣國民會議,1,891,0.79%
新北市汐止區,人民最大黨,2,668,0.59%
新北市汐止區,民主進步黨,3,34209,30.36%
新北市汐止區,台灣團結聯盟,4,8255,7.32%
新北市汐止區,中國國民黨,5,54174,48.07%
新北市汐止區,新黨,6,3057,2.71%
新北市汐止區,健保免費連線,7,1637,1.45%
新北市汐止區,綠黨,8,2318,2.05%
新北市汐止區,親民黨,9,7155,6.35%
新北市汐止區,中華民國臺灣基本法連線,10,150,0.13%
新北市汐止區,台灣主義黨,11,162,0.14%
新北市平溪區,台灣國民會議,1,41,1.26%
新北市平溪區,人民最大黨,2,37,1.14%
新北市平溪區,民主進步黨,3,1218,37.61%
新北市平溪區,台灣團結聯盟,4,343,10.59%
新北市平溪區,中國國民黨,5,1313,40.54%
新北市平溪區,新黨,6,23,0.71%
新北市平溪區,健保免費連線,7,32,0.98%
新北市平溪區,綠黨,8,39,1.20%
新北市平溪區,親民黨,9,165,5.09%
新北市平溪區,中華民國臺灣基本法連線,10,15,0.46%
新北市平溪區,台灣主義黨,11,12,0.37%
新北市瑞芳區,台灣國民會議,1,329,1.36%
新北市瑞芳區,人民最大黨,2,262,1.08%
新北市瑞芳區,民主進步黨,3,7398,30.61%
新北市瑞芳區,台灣團結聯盟,4,1992,8.24%
新北市瑞芳區,中國國民黨,5,11555,47.81%
新北市瑞芳區,新黨,6,282,1.16%
新北市瑞芳區,健保免費連線,7,427,1.76%
新北市瑞芳區,綠黨,8,311,1.28%
新北市瑞芳區,親民黨,9,1457,6.02%
新北市瑞芳區,中華民國臺灣基本法連線,10,61,0.25%
新北市瑞芳區,台灣主義黨,11,94,0.38%
新北市雙溪區,台灣國民會議,1,71,1.26%
新北市雙溪區,人民最大黨,2,92,1.64%
新北市雙溪區,民主進步黨,3,1971,35.13%
新北市雙溪區,台灣團結聯盟,4,476,8.48%
新北市雙溪區,中國國民黨,5,2480,44.21%
新北市雙溪區,新黨,6,52,0.92%
新北市雙溪區,健保免費連線,7,67,1.19%
新北市雙溪區,綠黨,8,77,1.37%
新北市雙溪區,親民黨,9,285,5.08%
新北市雙溪區,中華民國臺灣基本法連線,10,13,0.23%
新北市雙溪區,台灣主義黨,11,25,0.44%
新北市貢寮區,台灣國民會議,1,100,1.28%
新北市貢寮區,人民最大黨,2,109,1.40%
新北市貢寮區,民主進步黨,3,3460,44.58%
新北市貢寮區,台灣團結聯盟,4,895,11.53%
新北市貢寮區,中國國民黨,5,2561,32.99%
新北市貢寮區,新黨,6,82,1.05%
新北市貢寮區,健保免費連線,7,79,1.01%
新北市貢寮區,綠黨,8,112,1.44%
新北市貢寮區,親民黨,9,322,4.14%
新北市貢寮區,中華民國臺灣基本法連線,10,17,0.21%
新北市貢寮區,台灣主義黨,11,24,0.30%
臺中市大甲區,台灣國民會議,1,392,0.92%
臺中市大甲區,人民最大黨,2,330,0.77%
臺中市大甲區,民主進步黨,3,14929,35.23%
臺中市大甲區,台灣團結聯盟,4,3434,8.10%
臺中市大甲區,中國國民黨,5,19383,45.74%
臺中市大甲區,新黨,6,256,0.60%
臺中市大甲區,健保免費連線,7,756,1.78%
臺中市大甲區,綠黨,8,701,1.65%
臺中市大甲區,親民黨,9,1910,4.50%
臺中市大甲區,中華民國臺灣基本法連線,10,109,0.25%
臺中市大甲區,台灣主義黨,11,174,0.41%
臺中市大安區,台灣國民會議,1,122,1.06%
臺中市大安區,人民最大黨,2,95,0.82%
臺中市大安區,民主進步黨,3,4237,36.93%
臺中市大安區,台灣團結聯盟,4,885,7.71%
臺中市大安區,中國國民黨,5,5183,45.17%
臺中市大安區,新黨,6,49,0.42%
臺中市大安區,健保免費連線,7,301,2.62%
臺中市大安區,綠黨,8,116,1.01%
臺中市大安區,親民黨,9,424,3.69%
臺中市大安區,中華民國臺灣基本法連線,10,27,0.23%
臺中市大安區,台灣主義黨,11,34,0.29%
臺中市外埔區,台灣國民會議,1,197,1.11%
臺中市外埔區,人民最大黨,2,158,0.89%
臺中市外埔區,民主進步黨,3,5345,30.21%
臺中市外埔區,台灣團結聯盟,4,1540,8.70%
臺中市外埔區,中國國民黨,5,8811,49.81%
臺中市外埔區,新黨,6,119,0.67%
臺中市外埔區,健保免費連線,7,395,2.23%
臺中市外埔區,綠黨,8,256,1.44%
臺中市外埔區,親民黨,9,756,4.27%
臺中市外埔區,中華民國臺灣基本法連線,10,44,0.24%
臺中市外埔區,台灣主義黨,11,66,0.37%
臺中市清水區,台灣國民會議,1,477,1.00%
臺中市清水區,人民最大黨,2,372,0.78%
臺中市清水區,民主進步黨,3,18193,38.41%
臺中市清水區,台灣團結聯盟,4,3690,7.79%
臺中市清水區,中國國民黨,5,20209,42.67%
臺中市清水區,新黨,6,390,0.82%
臺中市清水區,健保免費連線,7,895,1.88%
臺中市清水區,綠黨,8,711,1.50%
臺中市清水區,親民黨,9,2150,4.54%
臺中市清水區,中華民國臺灣基本法連線,10,115,0.24%
臺中市清水區,台灣主義黨,11,154,0.32%
臺中市梧棲區,台灣國民會議,1,263,0.87%
臺中市梧棲區,人民最大黨,2,209,0.69%
臺中市梧棲區,民主進步黨,3,10749,35.78%
臺中市梧棲區,台灣團結聯盟,4,2306,7.67%
臺中市梧棲區,中國國民黨,5,13377,44.53%
臺中市梧棲區,新黨,6,187,0.62%
臺中市梧棲區,健保免費連線,7,762,2.53%
臺中市梧棲區,綠黨,8,538,1.79%
臺中市梧棲區,親民黨,9,1432,4.76%
臺中市梧棲區,中華民國臺灣基本法連線,10,152,0.50%
臺中市梧棲區,台灣主義黨,11,62,0.20%
臺中市沙鹿區,台灣國民會議,1,412,0.90%
臺中市沙鹿區,人民最大黨,2,424,0.93%
臺中市沙鹿區,民主進步黨,3,15171,33.39%
臺中市沙鹿區,台灣團結聯盟,4,3239,7.12%
臺中市沙鹿區,中國國民黨,5,21182,46.62%
臺中市沙鹿區,新黨,6,389,0.85%
臺中市沙鹿區,健保免費連線,7,1151,2.53%
臺中市沙鹿區,綠黨,8,765,1.68%
臺中市沙鹿區,親民黨,9,2413,5.31%
臺中市沙鹿區,中華民國臺灣基本法連線,10,157,0.34%
臺中市沙鹿區,台灣主義黨,11,131,0.28%
臺中市龍井區,台灣國民會議,1,402,1.00%
臺中市龍井區,人民最大黨,2,413,1.03%
臺中市龍井區,民主進步黨,3,13952,34.92%
臺中市龍井區,台灣團結聯盟,4,2677,6.70%
臺中市龍井區,中國國民黨,5,18029,45.12%
臺中市龍井區,新黨,6,349,0.87%
臺中市龍井區,健保免費連線,7,1090,2.72%
臺中市龍井區,綠黨,8,736,1.84%
臺中市龍井區,親民黨,9,2054,5.14%
臺中市龍井區,中華民國臺灣基本法連線,10,138,0.34%
臺中市龍井區,台灣主義黨,11,110,0.27%
臺中市大肚區,台灣國民會議,1,326,1.03%
臺中市大肚區,人民最大黨,2,297,0.94%
臺中市大肚區,民主進步黨,3,10884,34.55%
臺中市大肚區,台灣團結聯盟,4,2042,6.48%
臺中市大肚區,中國國民黨,5,14920,47.37%
臺中市大肚區,新黨,6,257,0.81%
臺中市大肚區,健保免費連線,7,577,1.83%
臺中市大肚區,綠黨,8,475,1.50%
臺中市大肚區,親民黨,9,1520,4.82%
臺中市大肚區,中華民國臺灣基本法連線,10,94,0.29%
臺中市大肚區,台灣主義黨,11,103,0.32%
臺中市烏日區,台灣國民會議,1,416,1.05%
臺中市烏日區,人民最大黨,2,332,0.83%
臺中市烏日區,民主進步黨,3,14222,35.97%
臺中市烏日區,台灣團結聯盟,4,3359,8.49%
臺中市烏日區,中國國民黨,5,17063,43.16%
臺中市烏日區,新黨,6,324,0.81%
臺中市烏日區,健保免費連線,7,732,1.85%
臺中市烏日區,綠黨,8,622,1.57%
臺中市烏日區,親民黨,9,2273,5.75%
臺中市烏日區,中華民國臺灣基本法連線,10,81,0.20%
臺中市烏日區,台灣主義黨,11,104,0.26%
臺中市霧峰區,台灣國民會議,1,436,1.15%
臺中市霧峰區,人民最大黨,2,365,0.96%
臺中市霧峰區,民主進步黨,3,13375,35.49%
臺中市霧峰區,台灣團結聯盟,4,3044,8.07%
臺中市霧峰區,中國國民黨,5,16207,43.01%
